Номер варианта;ID;INCOME_BASE_TYPE;CREDIT_PURPOSE;INSURANCE_FLAG;DTI;SEX;FULL_AGE_CHILD_NUMBER;DEPENDANT_NUMBER;EDUCATION;EMPL_TYPE;EMPL_SIZE;BANKACCOUNT_FLAG;Period_at_work;age;EMPL_PROPERTY;EMPL_FORM;FAMILY_STATUS;max90days;max60days;max30days;max21days;max14days;avg_num_delay;if_zalog;num_AccountActive180;num_AccountActive90;num_AccountActive60;Active_to_All_prc;numAccountActiveAll;numAccountClosed;sum_of_paym_months;all_credits;Active_not_cc;own_closed;min_MnthAfterLoan;max_MnthAfterLoan;dlq_exist;thirty_in_a_year;sixty_in_a_year;ninety_in_a_year;thirty_vintage;sixty_vintage;ninety_vintage
1;1000521;Bank form (without the employer's seal);Buying a car;0;0.46;male;1;0;unfinished Higher;Sales Manager;>250;0;23;26;Trade;Limited Liability Company   (ООО);married;1;0;0;0;0;0;1;1;0;0;0.2307692308;3;10;110;13;2;1;4;44;0;0;0;0;0;0;0
1;1000541;Receipt of salary in the account;Repair;1;0.37;male;0;0;Higher;specialist;>250;0;33;43;Transport;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1000561;Bank form (without the employer's seal);Repair;1;0.48;female;2;0;Higher / Second higher / Academic degree;Sales Manager;>250;0;114;39;Trade;Limited Liability Company   (ООО);single, not married;0;0;0;0;0;0.027173913;0;1;0;0;0.6923076923;9;4;179;13;4;0;4;30;1;0;0;0;0;0;0
1;1000581;Bank form (without the employer's seal);Repair;0;0.42;female;2;0;Higher;middle manager;>250;0;96;32;Trade;Limited Liability Company   (ООО);married;1;0;0;0;0;0;1;1;0;0;0.5555555556;5;4;162;9;3;0;4;44;0;0;0;0;0;0;0
1;1000601;personal income tax 2NDFL;Repair;1;0.57;female;0;0;Higher;middle manager;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1000621;personal income tax 2NDFL;Repair;0;0.18;female;0;0;Higher;middle manager;< 50;0;51;42;Trade;closed joint stock company (ЗАО);married;1;1;0;0;0;0;0;0;0;0;0;0;2;61;2;0;1;56;65;0;0;0;0;0;0;0
1;1000641;Receipt of salary in the account;Repair;0;0.3;male;0;0;average;support staff;>250;0;16;27;Trade;Limited Liability Company   (ООО);single, not married;1;1;1;1;1;0;0;0;0;0;1;1;0;9;1;1;0;8;8;0;0;0;0;0;0;0
1;1000661;Bank form (without the employer's seal);Repair;1;0.52;male;0;0;Higher / Second higher / Academic degree;specialist;>250;0;27;28;public service;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1000681;Bank form (without the employer's seal);Buying a car;0;0.42;female;0;0;Higher / Second higher / Academic degree;specialist;>250;0;156;49;Trade;Limited Liability Company   (ООО);single, not married;0;0;0;0;0;0.0416666667;1;0;0;0;0.2222222222;3;6;92;9;2;3;7;98;1;0;0;0;0;0;0
1;1000701;Free form with the seal of the employer;Repair;1;0.43;female;1;0;average-специальное;middle manager;< 50;0;8;43;Production;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1000721;Receipt of salary in the account;Repair;1;0.36;female;0;0;average;worker;>250;0;27;50;Trade;Public corporation (ОАО);divorced / divorced;0;0;0;0;0;0.2456140351;0;0;0;0;0.3333333333;1;2;43;3;0;0;31;62;1;1;1;1;0;0;0
1;1000741;Bank form (without the employer's seal);Buying a car;1;0.59;male;0;0;average;specialist;>250;0;53;26;Trade;Limited Liability Company   (ООО);single, not married;0;0;0;0;0;0.1206896552;0;0;0;0;0;0;4;51;4;0;1;18;54;1;1;0;0;0;0;0
1;1000761;Bank form (without the employer's seal);Buying furniture;1;0.37;male;1;0;Higher;specialist;>250;0;69;29;Production;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1000781;Bank form (without the employer's seal);Purchase of real estate / construction;1;0.45;male;1;0;unfinished Higher;senior manager;< 50;0;34;30;Building;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1000801;Receipt of salary in the account;Repair;1;0.46;female;0;0;unfinished Higher;support staff;>250;0;21;30;Trade;Limited Liability Company   (ООО);married;1;1;1;1;1;0;0;2;0;0;1;2;0;4;2;1;0;3;3;0;0;0;0;0;0;0
1;1000821;Receipt of salary in the account;Buying a car;0;0.47;male;1;0;Higher;specialist;>=150;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1000841;Receipt of salary in the account;Vacation;1;0.49;male;0;0;Higher;specialist;>250;0;61;32;Information Technology;Limited Liability Company   (ООО);married;5;3;1;1;1;0.0757575758;1;1;0;0;0.5;3;3;122;6;1;3;4;74;1;0;0;0;0;0;0
1;1000861;personal income tax 2NDFL;Repair;0;0.42;male;0;0;Higher;worker;>250;0;133;43;Other;Limited Liability Company   (ООО);single, not married;6;6;6;6;6;;0;0;0;0;0;0;1;0;1;0;0;104;104;0;0;0;0;0;0;0
1;1000881;personal income tax 2NDFL;Repair;1;0.42;male;0;0;average-специальное;worker;>250;0;78;25;public service;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1000901;personal income tax 2NDFL;Buying a car;0;0.36;female;0;0;Higher;specialist;>250;1;14;34;Building;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1000921;;Buying furniture;0;;female;1;0;Higher / Second higher / Academic degree;other;;0;77;32;Finance;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1000941;personal income tax 2NDFL;Purchase of real estate / construction;0;0.06;male;2;0;Higher / Second higher / Academic degree;middle manager;< 50;0;38;39;Other;Limited Liability Company   (ООО);married;0;0;0;0;0;0.0388349515;1;0;0;0;0.5;2;2;99;4;2;0;11;100;1;0;0;0;0;0;0
1;1000961;Bank form (without the employer's seal);Repair;1;0.49;female;1;0;secondHigher;specialist;< 50;0;35;39;Finance;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1000981;Free form with the seal of the employer;Buying a car;0;0.47;female;0;0;Higher;support staff;< 50;0;38;25;Trade;Individual entrepreneur;single, not married;0;0;0;0;0;0;0;0;0;0;0.4285714286;3;4;52;7;1;1;6;18;0;0;0;0;0;0;0
1;1001001;Free form with the seal of the employer;Repair;1;0.59;male;0;0;Higher;specialist;>=50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001021;Bank form (without the employer's seal);Repair;0;0.45;male;1;0;Higher / Second higher / Academic degree;specialist;>250;0;72;41;Agriculture and forestry;State enterprise;single, not married;1;0;0;0;0;0.0373831776;0;0;0;0;0.6666666667;4;2;103;6;2;0;8;87;1;0;0;0;0;0;0
1;1001041;Bank form (without the employer's seal);Обучение;1;0.2;female;1;0;average-специальное;support staff;>250;0;9;43;Other;Limited Liability Company   (ООО);divorced / divorced;1;1;1;1;0;0;0;1;0;0;0.5;2;2;40;4;2;1;5;22;0;0;0;0;0;0;0
1;1001061;personal income tax 2NDFL;Other;0;0.59;male;1;0;average-специальное;specialist;>250;0;85;33;Other;Limited Liability Company   (ООО);married;0;0;0;0;0;0;1;0;0;0;0.3333333333;1;2;45;3;1;2;18;45;0;0;0;0;0;0;0
1;1001081;personal income tax 2NDFL;Repair;1;0.19;male;0;0;average-специальное;worker;>250;1;123;34;Production;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001101;personal income tax 2NDFL;Repair;0;0.13;female;0;0;secondHigher;middle manager;>250;0;15;39;Other;Limited Liability Company   (ООО);single, not married;2;1;1;1;1;0.015503876;0;1;0;0;0.2222222222;2;7;127;9;1;5;3;94;1;0;0;0;1;0;0
1;1001121;Receipt of salary in the account;Buying a car;0;0.37;female;1;0;average-специальное;worker;>250;0;20;35;Production;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001141;personal income tax 2NDFL;Buying a car;0;0.45;male;2;0;average-специальное;specialist;>250;0;106;30;Production;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001161;Receipt of salary in the account;Repair;1;0.22;female;0;0;Higher;specialist;>250;1;58;28;Production;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;1001181;personal income tax 2NDFL;Purchase of real estate / construction;0;0.46;male;0;0;average-специальное;worker;>250;0;376;52;Production;;;;;;;;;;;;;;;;;;;;;;;;;;;;
